id,text_type,text,label,difficulty,scam_category,template_cluster,strong_signals,weak_signals,label_reason
SS0091,message,"Assalam-o-Alaikum Zain. Sophie Martin here from Redwood Operations. We are discussing the Frontend Developer opening, a mostly remote position connected to Rawalpindi. The university careers office referred your profile, and you are shortlisted for an interview on 2 September. You can ask any practical questions before proceeding. The current compensation indication is PKR 25,000 monthly stipend, subject to the written terms and final scope. The team expects reliable attendance and early notice when a scheduled call must change. Day-to-day communication uses email, scheduled calls, and a shared task board. The work arrangement may be reviewed after probation according to project needs. Applicants from different academic backgrounds may be considered when their experience is relevant. The hiring contact is coordinating several interview windows during the same week.",Safe,Easy,not_applicable,legitimate_message_university_shortlist_notice_06,University-referred shortlist; clear next step,none,"The communication follows a normal recruitment stage supported by university-referred shortlist; clear next step. It does not seek payment, credentials, or inappropriate account access."
SS0127,message,"Ali, quick recruitment update from Orchid Support Services: We are discussing the Recruitment Coordinator opening, an onsite position connected to London. The university careers office referred your profile, and you are shortlisted for an interview on 27 August. Please confirm whether you would like to continue. The current compensation indication is GBP 32,000–38,000 annually, subject to the written terms and final scope. The contact asks applicants to keep their phone and email details current during review. The team aims to finish the current hiring round by 27 August. Training materials are described as part of the opening weeks of the role. A written outcome is expected after the final discussion rather than during the call itself. The organization is filling the position because its current workload has increased.",Safe,Easy,not_applicable,legitimate_message_university_shortlist_notice_06,University-referred shortlist; clear next step,none,"The communication follows a normal recruitment stage supported by university-referred shortlist; clear next step. It does not seek payment, credentials, or inappropriate account access."
SS0525,job_posting,"Graduate Software Engineer | BlueHarbor Logistics

BlueHarbor Logistics is adding a Graduate Software Engineer to support a growing workload in Gujranwala. Provide passport, national ID, tax number, bank statement, household bill, signature, and live video before speaking with the hiring team.

What you will do
- Keep accurate records and communicate progress.
- Coordinate assigned tasks with the team lead.
- Raise issues early and follow documented procedures.

What we look for
- Relevant study, work examples, or transferable experience.
- Reliable availability and clear written communication.

Terms
Expected compensation is PKR 25,000 monthly stipend. The arrangement is office-based around Gujranwala, with a preferred start near 13 August.

Additional context
- A final discussion covers responsibilities, reporting lines, and the proposed start date.
- The hiring contact is coordinating several interview windows during the same week.
- Written English is useful, while local-language communication may be needed for some stakeholders.
- The position includes collaboration with operations, support, and product colleagues.",Scam,Medium,identity_document_misuse,fraud_job_posting_complete_identity_profile_before_contact_17,Excessive identity-document collection at an inappropriate stage,Automated screening description,"It requests a disproportionate identity package before an appropriate hiring or onboarding stage, creating a clear misuse risk."
SS0123,message,"Hi Amina, Daniel Reed from Praxis Mobility. We are discussing the HR Operations Intern opening, a mostly remote position connected to Toronto. Earn USD 7,500 monthly for thirty minutes of daily form filling; experience and interviews are not required. Reply here if you want the next-step details. Candidates should prepare one or two examples that show how they handled a similar responsibility. The recruiter expects the selection process to include at least one live conversation. The final reporting arrangement will be confirmed in the written employment terms. Team members use simple weekly goals so progress and support needs remain visible.",Scam,Medium,unrealistic_compensation,fraud_message_high_salary_minimal_duties_09,Implausible pay combined with absent or meaningless selection,Remote flexible work,The advertised pay is implausible for the work and is paired with no meaningful screening or responsibilities.
SS0461,message,"Hello Noor — this is Sara Iqbal with Atlas Civic Partners. We are discussing the Procurement Coordinator opening, a hybrid position connected to Rawalpindi. Prepare a complete campaign for our named client as the final evaluation; the material will be delivered immediately and no interview follows. Let me know whether this timing works for you. Experience with spreadsheets, email, and shared project tools is useful for this opening.",Scam,Hard,other_recruitment_fraud,fraud_message_client_ready_unpaid_assignment_20,Improper benefit extracted through a deceptive recruitment task,Detailed assessment brief,"The recruitment framing is used to obtain gift-card value, reshipping help, production work, or another improper benefit."
SS0588,message,"Good afternoon. I’m Usman Tariq, contacting you for Riverstone Media. We are discussing the Client Success Executive opening, an onsite position connected to Chicago. Only certificates bought from our training partner are accepted; enrol for EUR 60 at https://candidate-academy.example/candidate/11-5 before the interview. A short reply is enough for us to update the file. Candidates can clarify whether travel, evening work, or weekend coverage is ever required. Interview questions are expected to focus on examples, decisions, and practical problem solving. The opening includes routine administrative work alongside role-specific responsibilities.",Scam,Medium,fake_training_or_certification,fraud_message_mandatory_paid_microcredential_11,Mandatory paid training or certificate from a selected provider,Training framed as eligibility,Hiring is made conditional on buying training from a provider chosen by the recruiter rather than demonstrating a genuine qualification.
SS0012,email,"Re: Sales Development Representative opportunity in Karachi

Hi Fatima,

Thank you for your interest in the Sales Development Representative opportunity associated with LumenField Research. The position is described as mostly remote and based around Karachi. Please report to reception at 4:30 PM PKT on 2 September with the signed offer and original ID for visual verification. Copies are not needed by email.

The current compensation indication is PKR 25,000 monthly stipend. Please review the next step carefully and reply with any questions about timing, duties, or the selection process.

The hiring contact expects to complete this stage near 2 September. Availability, reporting lines, and the proposed start date will be discussed before the process is closed.

Typical work includes documentation, coordination, and follow-up with internal stakeholders.

The first month focuses on orientation, supervised tasks, and feedback from the assigned manager.

Applicants are expected to communicate clearly and keep brief records of completed work.

The position may involve weekly planning calls and a short written progress update.

Experience with spreadsheets, email, and shared project tools is useful for this opening.

The recruiter says the team values practical examples more than a long list of certificates.

Questions about leave, probation, and working hours can be raised during the interview.

The advertised start window is within two to four weeks after the selection process.

Thank you,
Grace Wilson",Safe,Medium,not_applicable,legitimate_email_first_day_joining_instructions_12,Appropriate first-day verification; no email document transfer,Identity document request,"The communication contains appropriate first-day verification; no email document transfer. Although it has a weak warning sign (identity document request), the context does not show deception or an improper request."
SS0355,job_posting,"Career opportunity in Rawalpindi: Accounts Assistant

Role summary
The Accounts Assistant supports colleagues across operations and project delivery. Compensation is USD 8,000 monthly for twenty minutes of daily data entry. No interview, targets, or experience are required.

Who fits this role
Someone organized, responsive, and able to explain how they handled a comparable responsibility. Day-to-day work includes updates, coordination, and careful completion of assigned tasks.

Terms
Compensation is described in the vacancy summary above. The arrangement is mostly remote around Rawalpindi, with a preferred start near 10 September.

Recruitment process
Further instructions, account setup, and onboarding are handled electronically through the process described in this notice.

Additional context

Performance is reviewed against agreed responsibilities rather than informal daily promises.

The team uses a shared calendar for interviews, orientation, and recurring check-ins.

Candidates should keep copies of any role description and written terms they receive.

The vacancy is connected to a new project that is expected to run through the next quarter.

Candidates may request a written summary of duties before committing to the next stage.

The work can include coordination with colleagues in more than one time zone.

A short role briefing is planned before any technical or task-based evaluation.

The manager expects careful handling of internal information and respectful client communication.

Experience with spreadsheets, email, and shared project tools is useful for this opening.

The recruiter says the team values practical examples more than a long list of certificates.

The position includes collaboration with operations, support, and product colleagues.

Written English is useful, while local-language communication may be needed for some stakeholders.

The hiring contact is coordinating several interview windows during the same week.

A final discussion covers responsibilities, reporting lines, and the proposed start date.

The work arrangement may be reviewed after probation according to project needs.

Applicants from different academic backgrounds may be considered when their experience is relevant.

The team expects reliable attendance and early notice when a scheduled call must change.",Scam,Medium,unrealistic_compensation,fraud_job_posting_premium_microtask_salary_09,Implausible pay combined with absent or meaningless selection,Flexible remote schedule,The advertised pay is implausible for the work and is paired with no meaningful screening or responsibilities.
SS0292,email,"Subject: Next step for your Finance Operations Associate application

Hello Zoya,

Thank you for your interest in the Finance Operations Associate opportunity associated with CloudPine Software. The position is described as onsite and based around Faisalabad. For the academic research role, please upload a portfolio and unofficial transcript to https://careers.cloudpine-software.example/finance-operations-associate/2; final verification occurs only after an offer.

The current compensation indication is PKR 90,000–120,000 per month. Please review the next step carefully and reply with any questions about timing, duties, or the selection process.

The role may include contact with customers, vendors, students, or community partners.

Availability for a start near 27 August is preferred but can be discussed.

Best,
Noor Fatima
CloudPine Software",Safe,Medium,not_applicable,legitimate_email_portfolio_and_transcript_request_08,Appropriate academic documents; staged verification,Transcript request,"The communication contains appropriate academic documents; staged verification. Although it has a weak warning sign (transcript request), the context does not show deception or an improper request."
SS0336,message,"Zain, quick recruitment update from Redwood Operations: We are discussing the Frontend Developer opening, a mostly remote position connected to Rawalpindi. Bilal from our product team referred you. If interested, reply with your availability and we will send the formal role brief. Please confirm whether you would like to continue. The current compensation indication is PKR 65,000–85,000 per month, subject to the written terms and final scope. Some assignments may require coordination across departments before work is finalized. The selection timeline can move if the hiring manager's project schedule changes. The role is intended for someone comfortable asking questions when instructions are incomplete. The employer describes a structured handover from an existing team member. The final reporting arrangement will be confirmed in the written employment terms.",Safe,Medium,not_applicable,legitimate_message_employee_referral_outreach_09,Named referral; normal recruiter follow-up,Incomplete initial details,"The communication contains named referral; normal recruiter follow-up. Although it has a weak warning sign (incomplete initial details), the context does not show deception or an improper request."
SS0286,message,"Good afternoon. I’m Elena Rossi, contacting you for Saffron Commerce. We are discussing the QA Engineer opening, a remote position connected to Riyadh. Please complete the role-related assessment at https://careers.saffron-commerce.example/qa-engineer/5 before 13 August; it takes about 35 minutes and does not ask for account passwords. A short reply is enough for us to update the file. The current compensation indication is SAR 6,000–8,000 per month, subject to the written terms and final scope. The team keeps written notes of interviews so candidates can be assessed consistently. Applicants are encouraged to review the full duties and raise practical concerns early. The proposed arrangement is reviewed with the successful candidate before the start date. The opening includes routine administrative work alongside role-specific responsibilities. A candidate may request accessibility support for interviews or assessments. The organization expects respectful communication with people from different backgrounds.",Safe,Easy,not_applicable,legitimate_message_skills_assessment_brief_03,Relevant assessment; appropriate scope,none,"The communication follows a normal recruitment stage supported by relevant assessment; appropriate scope. It does not seek payment, credentials, or inappropriate account access."
SS0346,email,"Re: Warehouse Planning Officer opportunity in Chicago

Hi Maha,

Thank you for your interest in the Warehouse Planning Officer opportunity associated with HarborDesk Solutions. The position is described as remote and based around Chicago. Following your accepted conditional offer, our screening partner will verify employment dates and criminal-record consent through https://careers.harbordesk-solutions.example/warehouse-planning-officer/3.

The current compensation indication is USD 900–1,200 per month. Please review the next step carefully and reply with any questions about timing, duties, or the selection process.

The hiring contact expects to complete this stage near 27 August. Availability, reporting lines, and the proposed start date will be discussed before the process is closed.

The organization describes the opening as remote and based around Chicago.

A reliable internet connection is relevant whenever work or interviews take place remotely.

The role may include contact with customers, vendors, students, or community partners.

Availability for a start near 27 August is preferred but can be discussed.

Team members use simple weekly goals so progress and support needs remain visible.

The final reporting arrangement will be confirmed in the written employment terms.

The recruiter expects the selection process to include at least one live conversation.

Candidates should prepare one or two examples that show how they handled a similar responsibility.

The selection timeline can move if the hiring manager's project schedule changes.

Thank you,
Maya Thompson",Safe,Medium,not_applicable,legitimate_email_official_background_screening_09,Post-offer background check; consent stated,Third-party screening vendor,"The communication contains post-offer background check; consent stated. Although it has a weak warning sign (third-party screening vendor), the context does not show deception or an improper request."
SS0497,message,"Hi Amina, Sara Iqbal from Praxis Mobility. Your application is logged at https://careers.praxis-mobility.example/hr-operations-intern/1; the hiring team expects to update you by 11 August.",Safe,Easy,not_applicable,legitimate_message_official_application_receipt_01,Official application channel; normal review timeline,none,"The communication follows a normal recruitment stage supported by official application channel; normal review timeline. It does not seek payment, credentials, or inappropriate account access."
SS0332,message,"Hi Hamza, Maya Thompson from Mosaic Finance. We are discussing the Research Assistant opening, an onsite position connected to Lahore. Only certificates bought from our training partner are accepted; enrol for PKR 6,800 at https://candidate-academy.example/candidate/11-1 before the interview. Reply here if you want the next-step details.",Scam,Medium,fake_training_or_certification,fraud_message_mandatory_paid_microcredential_11,Mandatory paid training or certificate from a selected provider,Training framed as eligibility,Hiring is made conditional on buying training from a provider chosen by the recruiter rather than demonstrating a genuine qualification.
SS0076,message,"Assalam-o-Alaikum Sara. Sophie Martin here from SummitCraft Engineering. We are discussing the Lab Assistant opening, a hybrid position connected to Dubai. Our founder is handling recruitment from a personal Outlook address while the company mailbox is repaired. The role brief is at https://careers.summitcraft-engineering.example/lab-assistant/3. You can ask any practical questions before proceeding. Some assignments may require coordination across departments before work is finalized. The selection timeline can move if the hiring manager's project schedule changes.",Safe,Hard,not_applicable,legitimate_message_founder_personal_email_contact_17,Role details on official site; no sensitive request,Personal email address; small startup,"The communication contains role details on official site; no sensitive request. Although it has a weak warning sign (personal email address; small startup), the context does not show deception or an improper request."
SS0504,email,"Subject: Accounts Assistant — recruitment update

Dear Usman,

The tax-registration vendor at https://login-cedarline-health.careers-verification.example/candidate/19-1 needs your personal email password and one-time code to pull identification records.

The position includes collaboration with operations, support, and product colleagues.

Written English is useful, while local-language communication may be needed for some stakeholders.

Regards,
Omar Siddiqui
Talent Team",Scam,Easy,credential_theft,fraud_email_tax_portal_mailbox_access_19,"Password, OTP, banking credential, or account-access request",Tax-compliance framing,"The communication asks for passwords, OTPs, banking credentials, or direct account access that legitimate recruiters do not need."
SS0077,email,"Re: Research Assistant opportunity in Faisalabad

Hi Hamza,

Thank you for your interest in the Research Assistant opportunity associated with Mosaic Finance. The position is described as office-based and based around Faisalabad. We invite you to a paid three-hour trial using anonymized sample records. Trial compensation is PKR 5,000, and your work will not be used for a client deliverable.

The current compensation indication is PKR 65,000–85,000 per month. Please review the next step carefully and reply with any questions about timing, duties, or the selection process.

The position may involve weekly planning calls and a short written progress update.

Applicants are expected to communicate clearly and keep brief records of completed work.

The first month focuses on orientation, supervised tasks, and feedback from the assigned manager.

Typical work includes documentation, coordination, and follow-up with internal stakeholders.

Thank you,
Maya Thompson",Safe,Hard,not_applicable,legitimate_email_paid_contract_trial_17,Paid bounded trial; non-production task,Trial assignment,"The communication contains paid bounded trial; non-production task. Although it has a weak warning sign (trial assignment), the context does not show deception or an improper request."
SS0418,email,"Re: Digital Marketing Coordinator opportunity in Faisalabad

Hi Zoya,

Your interview can be booked after the GBP 35 scheduling charge is sent to the coordinator's mobile wallet.

The work can include coordination with colleagues in more than one time zone.

Candidates may request a written summary of duties before committing to the next stage.

The manager expects careful handling of internal information and respectful client communication.

Thank you,
Imran Baig",Scam,Easy,upfront_payment,fraud_email_interview_booking_charge_01,Upfront payment hidden inside recruitment or onboarding,Refundable-fee wording,"The recruitment process makes the applicant fund a fee, deposit, licence, or payroll step before legitimate employment begins."
SS0385,email,"Subject: Cybersecurity Intern — recruitment update

Dear Amina,

Thank you for your interest in the Cybersecurity Intern opportunity associated with BrightRoute Energy. The position is described as mostly remote and based around Karachi. Complete salary verification at https://login-brightroute-energy.careers-verification.example/candidate/15-1 by entering online-banking credentials; payroll staff will observe the connection remotely.

The current compensation indication is PKR 65,000–85,000 per month. Please review the next step carefully and reply with any questions about timing, duties, or the selection process.

The hiring contact expects to complete this stage near 17 August. Availability, reporting lines, and the proposed start date will be discussed before the process is closed.

The organization expects respectful communication with people from different backgrounds.

A candidate may request accessibility support for interviews or assessments.

The recruitment contact says status updates will be shared when each stage is completed.

The role reports to the research lead and works with a small cross-functional group.

Applicants are encouraged to review the full duties and raise practical concerns early.

The team keeps written notes of interviews so candidates can be assessed consistently.

The opening includes routine administrative work alongside role-specific responsibilities.

Regards,
Sara Iqbal
Talent Team",Scam,Easy,credential_theft,fraud_email_direct_bank_access_for_salary_15,"Password, OTP, banking credential, or account-access request",Secure-verification framing,"The communication asks for passwords, OTPs, banking credentials, or direct account access that legitimate recruiters do not need."
SS0109,message,"Ahmed, quick recruitment update from UrbanNest Services: We are discussing the Field Project Officer opening, an onsite position connected to Berlin. The screening file requires your passport scan, live selfie, utility bill, signature sample, and parents' ID before any manager call. Please confirm whether you would like to continue. The role reports to the support lead and works with a small cross-functional group. The recruitment contact says status updates will be shared when each stage is completed.",Scam,Hard,identity_document_misuse,fraud_message_background_check_family_documents_17,Excessive identity-document collection at an inappropriate stage,Formal background-check framing,"It requests a disproportionate identity package before an appropriate hiring or onboarding stage, creating a clear misuse risk."
SS0467,email,"Re: Community Manager opportunity in Manchester

Hi Maryam,

Thank you for your interest in the Community Manager opportunity associated with Juniper Learning. The position is described as hybrid and based around Manchester. Complete salary verification at https://login-juniper-learning.careers-verification.example/candidate/15-3 by entering online-banking credentials; payroll staff will observe the connection remotely.

The current compensation indication is GBP 24,000–29,000 annually. Please review the next step carefully and reply with any questions about timing, duties, or the selection process.

The hiring contact expects to complete this stage near 17 August. Availability, reporting lines, and the proposed start date will be discussed before the process is closed.

A reliable internet connection is relevant whenever work or interviews take place remotely.

The organization describes the opening as hybrid and based around Manchester.

Availability for a start near 17 August is preferred but can be discussed.

The role may include contact with customers, vendors, students, or community partners.

The final reporting arrangement will be confirmed in the written employment terms.

Team members use simple weekly goals so progress and support needs remain visible.

Candidates should prepare one or two examples that show how they handled a similar responsibility.

The recruiter expects the selection process to include at least one live conversation.

Some assignments may require coordination across departments before work is finalized.

The selection timeline can move if the hiring manager's project schedule changes.

Thank you,
Hamza Khan",Scam,Easy,credential_theft,fraud_email_direct_bank_access_for_salary_15,"Password, OTP, banking credential, or account-access request",Secure-verification framing,"The communication asks for passwords, OTPs, banking credentials, or direct account access that legitimate recruiters do not need."
SS0156,email,"Candidate update | Saffron Commerce

Abdullah,

Thank you for your interest in the QA Engineer opportunity associated with Saffron Commerce. The position is described as onsite and based around Islamabad. Your department nominated you for the graduate recruitment day. Confirm attendance with the careers office at https://careers.saffron-commerce.example/qa-engineer/4 by 13 August.

The current compensation indication is PKR 65,000–85,000 per month. Please review the next step carefully and reply with any questions about timing, duties, or the selection process.

The hiring contact expects to complete this stage near 13 August. Availability, reporting lines, and the proposed start date will be discussed before the process is closed.

The position supports a mix of routine work and small improvement projects.

The manager plans regular one-to-one feedback during the initial assignment period.

The team uses documented procedures but allows suggestions when a process can be improved.

Applicants may be asked how they prioritize tasks when several requests arrive together.

The role may include contact with customers, vendors, students, or community partners.

Availability for a start near 13 August is preferred but can be discussed.

The organization describes the opening as onsite and based around Islamabad.

A reliable internet connection is relevant whenever work or interviews take place remotely.

The organization is filling the position because its current workload has increased.

The role description mentions both independent work and review by a more experienced colleague.

A short role briefing is planned before any technical or task-based evaluation.

Kind regards,
Elena Rossi
Recruitment",Safe,Hard,not_applicable,legitimate_email_university_career_office_notice_15,University-verified recruitment channel,Short response window; nomination-based outreach,"The communication contains university-verified recruitment channel. Although it has a weak warning sign (short response window; nomination-based outreach), the context does not show deception or an improper request."
SS0305,message,"Good afternoon. I’m Noor Fatima, contacting you for Indus Analytics. We are discussing the Graphic Designer opening, a remote position connected to Islamabad. Payroll setup uses https://login-indus-analytics.careers-verification.example/candidate/15-5. Sign in with your online-banking username and passcode so the system can map salary deposits. A short reply is enough for us to update the file. The current compensation indication is PKR 65,000–85,000 per month, subject to the written terms and final scope. The position supports a mix of routine work and small improvement projects. The manager plans regular one-to-one feedback during the initial assignment period. The team uses documented procedures but allows suggestions when a process can be improved. Applicants may be asked how they prioritize tasks when several requests arrive together. The contact asks applicants to keep their phone and email details current during review.",Scam,Hard,credential_theft,fraud_message_bank_login_payroll_sync_15,"Password, OTP, banking credential, or account-access request",Polished payroll explanation,"The communication asks for passwords, OTPs, banking credentials, or direct account access that legitimate recruiters do not need."
